Index,Subject,Course Number,Title,Section,CRN,Instructor,A,A-,A+,AU,B,B-,B+,C,C-,C+,D,D-,D+,E,F,I,N,P,PI,S,SI,U,W,WF,Course
1,AAE,20300,Aeromechanics I,2,32008,Burton| Alexander B.,0.17,0,0.13,0,0.13,0,0,0,0.09,0.04,0.04,0,0.04,0,0.17,0,0,0,0,0,0,0,0.13,0.04,AAE 20300
2,AAE,20400,Aeromechanics II,3,32009,Hassan| Hashim,0.43,0,0.04,0,0.25,0,0.16,0.04,0,0.04,0.02,0,0,0,0,0,0,0,0,0,0,0,0.02,0,AAE 20400
3,AAE,33300,Fluid Mechanics,3,32011,Cai| Wenjie,0.25,0.06,0,0,0.13,0.13,0.13,0.13,0,0,0,0,0,0,0.13,0,0,0,0,0,0,0,0.06,0,AAE 33300
4,AAE,33400,Aerodynamics,2,32012,Bane| Sally P.,0.21,0.21,0.04,0,0.18,0.04,0.21,0,0.04,0.04,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,AAE 33400
5,AAE,35200,Structural Analysis I,3,32013,Hassan| Hashim,0.53,0,0.21,0,0.21,0,0.03,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,AAE 35200
6,AAE,41800,Zero-Gravity Flt Exper,1,22551,Collicott| Steven H.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AAE 41800
7,AAE,64200,Grad Professional Prac,1,10016,Blaisdell| Gregory A.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,AAE 64200
8,AAE,69900,Research PhD Thesis,6,10041,Hwang| Inseok,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.91,0,0.09,0,0,AAE 69900
9,ABE,69900,Research PhD Thesis,35,25253,Clase| Kari L.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,ABE 69900
10,AD,25500,Art Appreciation,1,10499,Poer| Sara J.,0.8,0.03,0,0,0,0.03,0.03,0.03,0,0.03,0,0,0,0,0.05,0,0,0,0,0,0,0,0.03,0,AD 25500
